word	why
AAL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ACID	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ACTORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ADAMS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AFFAIRS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AGAIN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AGE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
AGENTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AGO	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
AINT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ALL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ALONE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
ALZHEIMERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AMAZONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AMERICAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AMPERES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ANGELS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ANNA	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
ANNES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ANNS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ANSWERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ARCHIVES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ARCS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ARENT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ARLES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ART	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ARTISTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ARTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ASSOCIATIONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
ATOM	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AUTHORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AUTOBIOGRAPHICAL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AWARD	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AWARDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
AWAY	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BAAL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BABYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BABYSITTERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BACHELORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BACKSTREETS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BAKERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BAND	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BARBARAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BAY	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BAYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BEER	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BEGINNERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BELLS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BENEDICTS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BENS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BEST	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BETA	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
BILLBOARDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BILLS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BIRDS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BISHOPS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BLACKS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BLUE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Swahili
BOARD	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BOBS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BOLAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BONIFACES	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BOSCOS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BOSTONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BOYS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BREAK	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BREAKS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BREEDERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BRITAINS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BROTHERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BROWNS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BUDDHAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BUN	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BUNGED	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BURROWS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BURTONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BUSINESS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BUTLERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
BUYERS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CALIFORNIAS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CALL	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CAMPIONS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CANT	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CANTOR	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CANTORS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CAPITALS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CAPTAINS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
CAROLS	ends in a consonant, which no native Swahili word does, and en.wiktionary does not file it as Swahili
